"RK",TIERS,"PLAYER NAME",TEAM,"POS","BYE WEEK","UPSIDE ","BUST ","SOS SEASON","ECR VS. ADP"
"185",10,"Minnesota Vikings",MIN,"DST8","6","-","-","1 out of 5 stars","-26"
"186",10,"Emmett Johnson",KC,"RB59","5","4 out of 5","4 out of 5","3 out of 5 stars","+3"
"187",10,"Jalen Nailor",LV,"WR71","13","-","-","2 out of 5 stars","+16"
"188",10,"Jacksonville Jaguars",JAC,"DST9","7","-","-","3 out of 5 stars","-19"
"189",10,"Keenan Allen",IND,"WR72","13","3 out of 5","4 out of 5","4 out of 5 stars","-27"
"190",10,"Cameron Dicker",LAC,"K2","7","5 out of 5","1 out of 5","2 out of 5 stars","-58"
"191",10,"Los Angeles Chargers",LAC,"DST10","7","-","-","3 out of 5 stars","-16"
"192",10,"Ka'imi Fairbairn",HOU,"K3","8","5 out of 5","1 out of 5","2 out of 5 stars","-61"
"193",10,"Terrance Ferguson",LAR,"TE22","11","4 out of 5","4 out of 5","4 out of 5 stars","+9"
"194",10,"Travis Hunter",JAC,"WR73","7","3 out of 5","4 out of 5","4 out of 5 stars","+25"
